iter	Passed	Remaining
0	2	294
1	5	277
2	8	272
3	10	255
4	13	248
5	15	246
6	18	245
7	21	242
8	23	239
9	25	233
10	28	231
11	31	229
12	33	226
13	36	224
14	39	222
15	41	218
16	44	215
17	46	211
18	49	209
19	51	207
20	54	205
21	56	202
22	59	197
23	60	192
24	62	187
25	64	182
26	65	177
27	67	173
28	68	168
29	70	165
30	72	160
31	73	157
32	75	153
33	77	149
34	78	146
35	80	143
36	82	140
37	84	137
38	85	133
39	86	130
40	87	126
41	88	121
42	89	118
43	90	114
44	91	111
45	92	108
46	93	105
47	94	102
48	95	99
49	96	96
50	97	93
51	98	90
52	99	88
53	100	85
54	101	82
55	102	80
56	103	77
57	104	75
58	105	73
59	106	70
60	107	68
61	108	66
62	109	64
63	110	62
64	111	60
65	112	57
66	113	55
67	114	53
68	115	51
69	116	49
70	117	48
71	118	46
72	119	44
73	120	42
74	121	40
75	122	38
76	123	37
77	124	35
78	126	33
79	126	31
80	128	30
81	129	28
82	130	26
83	131	24
84	132	23
85	133	21
86	134	20
87	135	18
88	136	16
89	137	15
90	138	13
91	139	12
92	140	10
93	141	9
94	142	7
95	143	5
96	144	4
97	145	2
98	146	1
99	147	0
